리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
색감 진짜 이쁘고 핏도 루즈핏으로 넘나 이쁘네영 ㅎㅎ,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티는 목이 탄탄해야 좋은데 이 제품이그래서 좋았어요,남성, 175cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
프리미엄도 샀는데 확실히 프리미엄이 낫습니다  그렇다고 이 옷이 질이 나쁘다는건 아닙니다 ,남성, 179cm, 67kg,보통이에요,보통이에요,흐려요,보통이에요
얇아서 좋아여 재질도 가격대비 좋습니다깔별로 사야합니다,남성, 186cm, 88kg,보통이에요,보통이에요,보통이에요,얇아요
일단 모든 룩에 찰떡이고 무엇보다 핏이 냐무 좋은거같고 아무 바지나 입어도 찰떡,남성, 179cm, 75kg,보통이에요,밝아요,선명해요,보통이에요
가격도 저렴하고  착용감도 편합니다 원단도 부드러워서 터치감도 좋아요,남성, 180cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
해외 놀러갈 때 시원한 느낌으로 입고 싶어 샀는데 핏도 재질도 너무 좋아서 만족합니다,남성, 177cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
저렴한 가격이 예쁜 옷 얻어갑니다  색상별로 몇개 사놔야겠어요,남성, 170cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
저렴한 가격이 예쁜 옷 얻어갑니다  색상별로 몇개 사놔야겠어요  외투 안에 기본티로 입기도 좋아요,남성, 170cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
가격대비 만족도가 아주 좋습니다 ㅎ가을 되면 긴팔 잘 안사는데 한 번 사봐야 겠네요,남성, 169cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
편하게 입기 좋아여 가볍게 걸치기 좋음 핏도 앵간함,남성, 168cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
키 78 몸무게 65인 저에게 딱 맞는 제품입니다 사이즈 깔끔한 디자인 색감 다 마음에 드네요,남성, 178cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
기본 티로 입기에 딱 좋습니다매년 쟁여두기 좋을듯,남성, 173cm, 60kg,보통이에요,보통이에요,선명해요,보통이에요
가격저렴하고  품질이 참  좋아요 상품평이 좋아 신뢰감이 갔는데받아보니 좋네요 득템했어요 ,남성, 185cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
여름에 시원하게 입기 괜찮은거 같습니다  기본템으로 좋음,남성, 174cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
정핏으로 나와서 각도 잘 서고 슬렉스랑 입으면 깔끔하게 코디 가능함니다  너무 가격이 저렴해서 몇장 쟁여두고 싶은 제품입니다  엄청 갓성비로 추천제품입니다 ,남성, 180cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 많이 오버핏입니다 그래도 가성비는 최고에요 ,남성, 175cm, 63kg,커요,보통이에요,보통이에요,보통이에요
제 체형 보시고 핏감 좋게 입고 싶은 분들은  완전 추천 박시   완전 오버  ,남성, 174cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
