리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
레이어드용으로 샀는데 기장감이 진짜 길어요 근데 재질은 진짜 웬만한 반팔보다 좋습니다,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
오버핏 레이어드하면 딱이에요전 운동복 위에 걸치는 용도로 입는데 기장 길어서 딱 알맞습니다건조기 돌리면 한 3샌치정도 줄어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,두꺼워요
역시 레이어드 티는 무신사 스탠다드   근본중의 근본,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
역시 레이어드 티는 무신사 스탠다드   근본중의 근본,남성, 179cm, 49kg,보통이에요,보통이에요,보통이에요,보통이에요
커요 줄어들꺼생각해서크게샀어요 건조기넣으면 푹쫄아요,남성, 170cm, 62kg,커요,보통이에요,보통이에요,보통이에요
마니커요 건조기넣으면줄어들어서크게샀어요 지금레이어드하기엔너모더워요,남성, 170cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요
예전에미디엄샀다가 건조기돌리니 엄청쭐길래한사이즈업했는데마니커요 건조기가 알아서 줄여주긴하지만   지금레이어드해서입기엔넘나리더움,남성, 170cm, 62kg,커요,보통이에요,보통이에요,보통이에요
기장은 적당하며 팔 길이는 오버핏으로 나와 만족했습니다  비치지도 않고 원단도 탄탄해서 좋아요 ,남성, 177cm, 62kg,커요,밝아요,선명해요,보통이에요
옷 재질도 좋고 여름에 딱 착용하기 좋은 아이템입니다 추천드려요,남성, 168cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 좋아요 이상은 조금 길거같애요 아래 사이즈 사시는거 추천해요,여성, 160cm, 54kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드용으로 가성비 좋습니다  얇진 않아서 여름엔 단품으로 입어야겠어요 ,남성, 168cm, 55kg,보통이에요,보통이에요,보통이에요,얇아요
여름에 이너로입긴좀 도톰한 편이요그래도 전 마음에 들어요꽤길어요앞뒤가 언발란스해요너무길어서 전 뒤쪽한 단 접어서 박았어요그래서 앞 뒤 길이가 같아요 사진엔 ,NaN,NaN,NaN,커요,보통이에요,보통이에요,두꺼워요
저랑 신체 비슷하신 분은 조금 클 수도 있어요 두께감 괜찮고 맘에 드네요 안에 흰 티가 제품입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
다들 아시겠지만 이너용이잖아요  근데  이랑  랑 뭘 사야할지감이 안와서 둘다 사봤거든요  결론은 캐주얼하게 입으실거면 한사이즈 작게 입으시구 자기 옷이 스트릿하면 정사이즈가면 되더라구요  저는  사니까 몸통이 좀 붙긴하지만 이너라서 오히려 좋아  길이도 적당해서  가 딱이라는 결론을 내렸음다  도움되시길 바랍니다    ,남성, 179cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
다들 아시겠지만 이너용이잖아요  근데  이랑  랑 뭘 사야할지감이 안와서 둘다 사봤거든요  결론은 캐주얼하게 입으실거면 한사이즈 작게 입으시구 자기 옷이 스트릿하면 정사이즈가면 되더라구요  저는  사니까 몸통이 좀 붙긴하지만 이너라서 오히려 좋아  길이도 적당해서  가 딱이라는 결론을 내렸음다  도움되시길 바랍니다    ,남성, 177cm, 85kg,커요,보통이에요,보통이에요,보통이에요
화이트랑 블랙 샀는데 너무 잘 입고 다녀요 아주 만족합니다,남성, 187cm, 94kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 예상한대로 맞고 옷도 편합니다 괜찮아요,남성, 167cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
오버핏으로 입기좋습니다이너로딱입니다매번재구매하고있습니다,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
싼 가격에 제질 좋은 반팔이에요 아주 만족하고 편하게 입을수있을꺼같아요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
재질 좋고 길이도 좋아요  통도 딱 적당하고 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,보통이에요
괜찮습니다 그런데 몸통보다 길이가 너무 길어요,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
긴 기장을 좋아하는데 생각보다 많이 길어요 ㅎㅎ 다른티 안에 같이 입기 좋은 옷입니다  ,NaN,NaN,NaN,커요,밝아요,선명해요,보통이에요
더워져서 여름용 레이어드 티 주문했습니다  길이가 좀 긴데 레이어드하기엔 좋아보이네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
더워져서 여름용 레이어드 티 주문했습니다  길이가 좀 긴데 레이어드하기엔 좋아보이네요,남성, 167cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
레깅스만 입기 민망할 때 입어요엉덩이 충분히 덮는 길이라 좋아요,남성, 173cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
레이어드 했을 때 느낌이 좋아요  생각보다 많이 길어요,여성, 165cm, 70kg,커요,밝아요,선명해요,보통이에요
사이즈도 기장도 좋아요 두께감도 적당해서 레이어드에 딱입니다 또 구매하려고 합니다 ,남성, 172cm, 77kg,커요,보통이에요,보통이에요,보통이에요
겉옷도 긴편인데 안에 입을 반팔이 더 길어서 아주아주 매우매우 만족합니다,여성, 159cm, 48kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 긴 카라티에 레이어드하기 딱 좋았습니다 ,남성, 180cm, 68kg,보통이에요,밝아요,보통이에요,보통이에요
 인데도 너무 깁니다     로 살 걸 그랬네요 ㅜㅜ    화이트 산다는 걸 오트밀 샀는데 그렇게 심하게 티나지는 않아요 ,여성, 168cm, 100kg,커요,밝아요,선명해요,두꺼워요
불편하지도않고 가성비도 저렴하며 괜찮은것 같다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 적당하며 편안하게 입기에좋은것같습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
평소 옷이 너무 길어서 긴 사이즈로 샀는데 진짜 길긴 길어요 근데 레이어드로 입기 너무 좋아요 헤헤,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
봄에 레이어드 해서 잘 입고 다녔습니다  저는 개인적으로 일반 기장이 좀 더 좋았습니다 ,남성, 172cm, 56kg,보통이에요,보통이에요,보통이에요,보통이에요
코디 하기 좋은 레이어드티 무신사에 꼬옥 사세용,여성, 170cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
반팔 티셔츠안에 활용만점 입니다 생각보다 많이 길어요,남성, 173cm, 63kg,커요,보통이에요,보통이에요,보통이에요
정말 기본템으로 막 입기 너무 좋은 것 같습니다 추천,남성, 160cm, 53kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 생각보다길긴한데 나름괜찮은것같아여,남성, 175cm, 85kg,커요,보통이에요,보통이에요,보통이에요
레이어드 티로 입기 좋아요 이거 사고나서 1주일에 2번정도는 입거든요 그래서 이 티도 2장있어요 ,남성, 180cm, 68kg,커요,밝아요,선명해요,얇아요
앞기장보다 뒷기장이 조금 더 긴게 아쉽긴하네요,남성, 187cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요
기장이 길어서 레이어드 하기에 좋습니다  가성비 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
두께감도 적당하고 떨어지는 길이도 딱 좋네요 가을쯤에 레이어드 해서 잘 입을 듯용,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기장감이 딱 좋습니다  190되는 분들도 가능하겠네요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
