리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
핏도 넉넉하고 터치감이 너무 좋아요 긴팔티는 이거 살듯함,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
오버핏으로 입고 싶어서 한치수 크게 사입었어요 어깨 적당한데 길이가 너무 길더라구여 ㅠ 옷이 부드럽고 신축성 너무 좋아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,두꺼워요
아주 싸게 잘 산 것 같어요 잘입을게요 감사합니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
좋네요 반바지에 위에 긴팔로 입으면 딱 좋긴합니다  봄가을에,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
상품 잘 받았습니다 이너로 좋아요 가성비 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
이너로 입기에 너무 좋아요낵라인이 마음에 들어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
무난하고 좋아요평범합니다가성비가 엄청 좋다고는 생각안들고 걍 평범해요 ㅎㅎ나쁘지는 않아요,남성, 174cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
긴팔 필요해서 기본 긴팔샀는데 짱짱하고 깔끔해요,남성, 174cm, 78kg,보통이에요,어두워요,선명해요,보통이에요
긴팔 필요해서 기본 긴팔샀는데 짱짱하고 깔끔해요,남성, 180cm, 68kg,보통이에요,밝아요,선명해요,보통이에요
찰랑거리는 소재감에 툭 떨어지는 실루엣이라서 여름에도 입기 좋고 특히 색감이 진짜 오묘해서 강추,남성, 185cm, 80kg,보통이에요,밝아요,선명해요,두꺼워요
보통 105사이즈 엑라입구요운동을 하다보니 110을 입기도해요엑스라지 샀는데 적당한 핏 나오네요원단 부드럽고 운동할때 입기 좋아요,남성, 183cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요
흰색도 있어서 사이즈 한사이즈 올려서 다른색으로 주문했네요  보다는   가 더 잘맞아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
그럭저럭 무난합니다강추할것도 없고 그냥 그래요평범합니다  대신 나쁠것도 없어요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋은 무탠다드 기본템이고 사이즈 적당해요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
안에 입으려고 샀는데 두께감도 괜찮고 예뻐서 잘입고 있어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
안에 입으려고 샀는데 두께감도 괜찮고 예뻐서 잘입고 있어요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 적당하고 재질이 너무 좋아요  세탁기 돌려도 잘 안늘어나는 재질이라 강추합니다 ,남성, 170cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요
제 세번째 여자친구가 잘 어울린다고하네요 헤헤,남성, 173cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
이뻐요 만족합니다 굳굳 편하게 입기 좋아요오우여,남성, 181cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
색이 완전 흰색은 아니지만 깔끔하고 군더더기 없습니다 역시 기본템은 무탠다드 ,남성, 181cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
재작년에 사서 맘에들어서 블랙 화이트 구매했습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
