리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
무난해서 평소에 막 입기 좋은 기본 긴팔티인 것 같아요 ,여성, 163cm, 50kg,보통이에요,보통이에요,선명해요,보통이에요
무난한 긴팔티 아무데나 잘 입고 다녀요 핏 이쁘고 가성비 아주좋아요,남성, 181cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
무난한 기본 긴팔티 저렴하고 핏도 이뻐요 가성비 너무 좋아요,남성, 181cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
많이 두껍지도 않고 재질도 좋아서 자주 입을거 같아요,남성, 174cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
기본적인 롱슬리브 입니다 아주 깔끔한 디자인이고 가성비 좋습니다 ,남성, 176cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 너무 좋고 단품으로 좋고 이너로도 활용하기 좋은거 같아요,남성, 165cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 최고입니다 지금까지 산 쭉티중 최고네요,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
이거 살까말까 고민햇는데 ㄹㅇ 너무 조아요 꼭 사새요 꼭,남성, 170cm, 60kg,보통이에요,보통이에요,선명해요,얇아요
생각보다 길이가 좀 길긴 했지만 적당한 오버핏으로 입을 수 있어서 괜찮아요 두께는 초가을부터 입으면 될 것 같고 흰색은 비침 없네요 소매 길어서 좋아요 재질 부드럽고 입기 편해요 목 부분도 튼튼해용,여성, 164cm, 46kg,커요,보통이에요,보통이에요,보통이에요
적당히 여유있고 좋아요  믿고입는 무탠다드 기본티입니다 ,남성, 178cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
기본 긴팔은 이걸로 정착 했습니다  너무 만족해요,남성, 182cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요
두께 적당하고 완전 가성비 좋은거 같습니다 굿굿,남성, 172cm, 69kg,보통이에요,밝아요,선명해요,보통이에요
소매만 약간길고 낙낙히 잘맞아요  베이직이라 좋습니다,여성, 158cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
2개 구매해보고 너무 마음에 들어서 2개 더 구매했습니다  이거 입고 다닐 생각하니 가을 겨울이 너무 기대됨,여성, 167cm, 65kg,보통이에요,밝아요,보통이에요,보통이에요
단품으로 입어보았어요 소매기장도 적당하니 만족해요,남성, 173cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 잘 맞고 생각한 핏아 나옵니다 좋습니다,남성, 170cm, 58kg,보통이에요,보통이에요,보통이에요,보통이에요
진짜 무난한 무탠다드입니다 어디에 코디하든 다 잘어울려요,남성, 176cm, 71kg,보통이에요,보통이에요,흐려요,보통이에요
아무때나 입기 좋아요 아무때나 입기 좋아요 휘뚜루 마뚜루 이거 맞낭 ㅋㅋ,여성, 168cm, 60kg,커요,보통이에요,보통이에요,보통이에요
흠벅쇼갈때 입었어욤   굿 여름에 입긴 좀 덥긴하지만 굿 ㅓㅡ,여성, 168cm, 65kg,보통이에요,보통이에요,선명해요,보통이에요
사이즈도 적당하고 이뻐요 아주 잘 샀습니다 마음에 들어요,여성, 169cm, 46kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 기본의 기본 최고입니다   핏도 딱 적당하고 좋네요  ,남성, 180cm, 77kg,보통이에요,보통이에요,선명해요,보통이에요
활용도가 높습니다  핏도 좋구요 기본템으로 강추,남성, 180cm, 75kg,보통이에요,보통이에요,보통이에요,두꺼워요
무신사 스탠다드 제품 첫 구매인데 럴수럴수이럴수 사이즈 너무 잘 맞고 원단도 좋은 게 느껴지네요  옷 구매하고 감탄한 건 오랜만무탠다드를 사랑하게 되었읍니다 ,여성, 167cm, 65kg,보통이에요,밝아요,선명해요,보통이에요
줗아요 기본티로 딱이에요 원하던 옷 잘 산거같네요,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
이거 진짜좋네요 무신사스텐다드 짱 사랑해요 무텐다드,남성, 183cm, 90kg,보통이에요,밝아요,선명해요,보통이에요
무탠다드 롱슬리브 그냥 너무 무난합니다 그냥 사용,남성, 173cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
기본티로 일색없는 무지티에요 가성비 좋습니다,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 믿고 사세요 이것만큼 좋은 무지 슬리브 못 봤습니다,남성, 170cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 그럭저럭 괜찮은거 같습니다  무난합니다요,남성, 163cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
이너티로 입을려고 주문했습니다 기장 보고 주문했는데 가슴이랑 팔이 너무 크네요 이너티로 입기에 기장은 딱 좋아요 ,남성, 170cm, 65kg,커요,밝아요,보통이에요,보통이에요
소재가 시원해서 여름에 입기도 좋은거같아요 짱,남성, 187cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
빨간색이 너무 쨍하기는 한데 괜찮아요 예쁜거같아요,남성, 175cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
정핏이기 때문에 오버하게 입고싶다면 한치수 두치수 크게 사는게 좋습니다 헬린이들이 입으면 근육 조금씩 나오면서 이쁩니다 ㅎㅎ,남성, 172cm, 70kg,보통이에요,밝아요,선명해요,보통이에요
