gender,height,weight,item,content,size,brightness,color,thickness
남성, 171cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,언제나 편하게 입을 수 있는 티 같아서 좋아요 가성비도 괜찮고,보통이에요,밝아요,선명해요,보통이에요
남성, 171cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,촌스럽지 않고 데일리로 입기 무난하며 편하고 좋습니다.,보통이에요,보통이에요,보통이에요,보통이에요
남성, 178cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,얇고 시원해서 휘뚜루마뚜루 입기 좋아요 무난무난,보통이에요,보통이에요,보통이에요,보통이에요
남성, 156cm,40kg,에센셜 쿨 코튼 2-PACK 티셔츠,저희아이는 156에 40. 말라서 그런지 S싸이즈인데도 기장이 길어 보이네요.XS를 했어야 하나봐요.키 165이상인 분에게 적당히 맞을듯.합니다.,보통이에요,보통이에요,선명해요,보통이에요
남성, 183cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,시원하고 좋은 재질이긴한데 툭튀가 좀 있어서 흰색은 주의해서 입으셔야함,보통이에요,보통이에요,보통이에요,보통이에요
남성, 165cm,55kg,에센셜 쿨 코튼 2-PACK 티셔츠,한여름에 입기 딱좋아요 전체적으로 마음에 들어요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 172cm,61kg,에센셜 쿨 코튼 2-PACK 티셔츠,기본기본두께가 조금 있어보였는데 얇아요그렇다고 비치지는 않아요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 178cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,178/65 얇아서 시원하고 깔끔하네요 목부분이 잘 늘어나지 않아서 좋아요,보통이에요,보통이에요,보통이에요,얇아요
남성, 185cm,80kg,에센셜 쿨 코튼 2-PACK 티셔츠,기본티로 또 입으려구 두세트 구매했음 꼭 사셔야 합니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 185cm,80kg,에센셜 쿨 코튼 2-PACK 티셔츠,여자친구한티 작은사이즈는 선물용으로 구매했어요 이뻐요 ,보통이에요,보통이에요,보통이에요,보통이에요
