user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 5 무신시악개,여성, 165cm, 30kg,[Mmlg] 19MG HOOD (FISH BLUE),M (기모X),5.0,기모없는거는 엄청 얇아요 기모 있는걸로 산다는걸 ㅜㅜ그래도 만족 합니다,보통이에요,보통이에요,선명해요,얇아요,M (기모X),67.0,56.0,63.0,64.0
LV 3 휴대폰 기스,남성, 171cm, 63kg,[Mmlg] 19MG HOOD (NATURAL SOAP),M,5.0,너무 편하고 따뜻하고 좋습니다 색감도 옅은 아이보리 색깔이라 좋아요 ,보통이에요,밝아요,선명해요,보통이에요,M,67.0,56.0,63.0,64.0
LV 5 POLOVED,남성, 177cm, 70kg,[Mmlg] 19MG HOOD (EVERY GREY),L (기모X),5.0,엠엠엘지 후드티는 믿고 사요. 기본템인데 오래 쓸 수있음,보통이에요,보통이에요,보통이에요,보통이에요,L (기모X),70.0,59.0,66.0,67.0
LV 4 물주먹다,여성, 164cm, 53kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),M,4.0,색도 예쁘고 어디에나 잘 어울려요!! 다들 꼭 사세요,보통이에요,보통이에요,보통이에요,보통이에요,M,67.0,56.0,63.0,64.0
LV 5 짜이자이루,여성, 165cm, 50kg,[Mmlg] 19MG HOOD (FISH BLUE),L,5.0,오버사이즈로 입으려고 고민끝에 라지를 시켰으나.. 미듐이 딱 적당하니 예쁠 것 같아요 색은 쨍하고 예뻐요,커요,보통이에요,선명해요,보통이에요,L,70.0,59.0,66.0,67.0
LV 4 부부디,남성, 165cm, 64kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),S (기모X),5.0,귀엽고 ㄱㅊ근데 m으로 살걸 후회 중. 저랑 비슷한 체형이신 분은 m으로 ㄱㄱ,보통이에요,보통이에요,보통이에요,보통이에요,S (기모X),62.0,50.0,59.0,60.0
LV 4 부부디,남성, 165cm, 64kg,[Mmlg] 19MG HOOD (EVERY GREY),S (기모X),4.0,시보리쪽이 조금 조이는 느낌? 한 치수 큰걸로 살걸 ㅠ,보통이에요,어두워요,흐려요,두꺼워요,S (기모X),62.0,50.0,59.0,60.0
LV 5 옷안산지97일,남성, 177cm, 73kg,[Mmlg] 19MG HOOD (EVERY GREY),L (기모X),5.0,무난하고 다 좋습니다만 키에 비해 팔이긴편인데도 팔이 좀 남네요,보통이에요,보통이에요,보통이에요,보통이에요,L (기모X),70.0,59.0,66.0,67.0
LV 5 일수꾼,남성, 182cm, 73kg,[Mmlg] 19MG HOOD (EVERY GREY),M,5.0,후드 디자인도 예쁘고 재질도 짱짱해서 너무 마음에 드네요.,보통이에요,보통이에요,보통이에요,보통이에요,M,67.0,56.0,63.0,64.0
LV 4 어쩔에어컨,여성, 175cm, 54kg,[Mmlg] 19MG HOOD (EVERY GREY),M (기모X),5.0,사이즈 적당하고 좋아요 예쁘고 핏도 완전 좋음 역시,보통이에요,보통이에요,보통이에요,보통이에요,M (기모X),67.0,56.0,63.0,64.0
